pump_id,lead_warning,lead_critical,trajectory_cycles
FD003_E003,46.0,14.0,202
FD003_E005,60.0,24.0,193
FD003_E019,52.0,15.0,209
FD003_E022,34.0,9.0,172
FD003_E025,36.0,15.0,173
FD003_E026,44.0,15.0,223
FD003_E028,68.0,14.0,180
FD003_E034,64.0,23.0,439
FD003_E043,50.0,15.0,301
FD003_E051,44.0,12.0,170
FD003_E052,54.0,16.0,202
FD003_E053,28.0,13.0,144
FD003_E057,49.0,17.0,195
FD003_E060,52.0,21.0,170
FD003_E062,53.0,21.0,226
FD003_E072,45.0,20.0,212
FD003_E082,52.0,22.0,265
FD003_E093,23.0,18.0,151
FD003_E098,46.0,15.0,287
FD003_E100,37.0,16.0,132
