pump_id,lead_warning,lead_critical,trajectory_cycles
FD001_E003,49.0,17.0,159
FD001_E005,58.0,25.0,249
FD001_E019,61.0,23.0,138
FD001_E022,83.0,40.0,182
FD001_E025,87.0,20.0,210
FD001_E026,52.0,22.0,179
FD001_E028,31.0,13.0,145
FD001_E034,66.0,19.0,175
FD001_E043,37.0,18.0,187
FD001_E051,44.0,16.0,193
FD001_E052,58.0,17.0,193
FD001_E053,46.0,21.0,175
FD001_E057,31.0,14.0,117
FD001_E060,47.0,20.0,152
FD001_E062,85.0,27.0,160
FD001_E072,43.0,34.0,193
FD001_E082,43.0,21.0,194
FD001_E093,42.0,12.0,135
FD001_E098,25.0,12.0,136
FD001_E100,50.0,27.0,180
